ID,Title,Year,Duration,AgeRating,Rating,Votes
192,12 Years a Slave,2013,2h 14m,R,8.1,(774K)
193,Before Sunrise,1995,1h 41m,R,8.1,(367K)
194,Blade Runner,1982,1h 57m,R,8.1,(866K)
195,Spider-Man: No Way Home,2021,2h 28m,PG-13,8.2,(982K)
196,Memories of Murder,2003,2h 12m,Not Rated,8.1,(253K)
197,Ratatouille,2007,1h 51m,G,8.1,(910K)
198,Gone Girl,2014,2h 29m,R,8.1,(1.1M)
199,How to Train Your Dragon,2010,1h 38m,PG,8.1,(869K)
200,"Monsters, Inc.",2001,1h 32m,G,8.1,(1M)
201,Jaws,1975,2h 4m,PG,8.1,(719K)
202,In the Name of the Father,1993,2h 13m,R,8.1,(199K)
203,Ford v Ferrari,2019,2h 32m,PG-13,8.1,(545K)
204,Wild Tales,2014,2h 2m,R,8.1,(233K)
205,The Gold Rush,1925,1h 35m,Approved,8.1,(126K)
206,Sherlock Jr.,1924,45m,Passed,8.1,(64K)
207,Mary and Max,2009,1h 32m,Not Rated,8.1,(199K)
208,The Deer Hunter,1978,3h 3m,R,8.1,(381K)
209,The General,1926,1h 18m,Passed,8.1,(104K)
210,The Wages of Fear,1953,2h 36m,Not Rated,8.1,(72K)
211,Mr. Smith Goes to Washington,1939,2h 9m,Approved,8.1,(128K)
212,Logan,2017,2h 17m,R,8.1,(906K)
213,On the Waterfront,1954,1h 48m,Approved,8.1,(175K)
214,Rocky,1976,2h,PG,8.1,(673K)
215,Wild Strawberries,1957,1h 32m,Not Rated,8.1,(122K)
216,Tokyo Story,1953,2h 17m,Not Rated,8.1,(76K)
217,The Third Man,1949,1h 44m,Approved,8.1,(192K)
218,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,8.1,(1.3M)
219,Spotlight,2015,2h 9m,R,8.1,(526K)
220,Maharaja,2024,2h 21m,,8.3,(75K)
221,The Terminator,1984,1h 47m,R,8.1,(981K)
222,La haine,1995,1h 38m,Not Rated,8.1,(218K)
223,The Big Lebowski,1998,1h 57m,R,8.1,(902K)
224,Jai Bhim,2021,2h 44m,Approved,8.6,(230K)
225,The Seventh Seal,1957,1h 36m,Not Rated,8.1,(212K)
226,Room,2015,1h 58m,R,8.1,(473K)
227,Hotel Rwanda,2004,2h 1m,PG-13,8.1,(387K)
228,The Sound of Music,1965,2h 54m,G,8.1,(283K)
229,The Best Years of Our Lives,1946,2h 50m,Approved,8.1,(76K)
230,Platoon,1986,2h,R,8.1,(463K)
231,Before Sunset,2004,1h 20m,R,8.1,(308K)
232,The Incredibles,2004,1h 55m,PG,8,(876K)
233,The Exorcist,1973,2h 2m,R,8.1,(487K)
234,A Silent Voice: The Movie,2016,2h 10m,Not Rated,8.2,(129K)
235,Hachi: A Dog's Tale,2009,1h 33m,G,8.1,(334K)
236,Rush,2013,2h 3m,R,8.1,(547K)
237,The Wizard of Oz,1939,1h 42m,G,8.1,(458K)
238,Stand by Me,1986,1h 29m,R,8.1,(473K)
239,The Passion of Joan of Arc,1928,1h 54m,Passed,8.1,(67K)
240,The Iron Giant,1999,1h 26m,PG,8.1,(252K)
241,My Father and My Son,2005,1h 52m,Not Rated,8.2,(99K)
242,The Handmaiden,2016,2h 25m,Not Rated,8.1,(194K)
243,Network,1976,2h 1m,R,8.1,(183K)
244,The Battle of Algiers,1966,2h 1m,Not Rated,8.1,(73K)
245,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,1h 57m,R,8.2,(93K)
246,The Grapes of Wrath,1940,2h 9m,Approved,8.1,(107K)
247,To Be or Not to Be,1942,1h 39m,Approved,8.1,(48K)
248,Gangs of Wasseypur,2012,5h 21m,Not Rated,8.2,(111K)
249,Drishyam,2015,2h 43m,Not Rated,8.2,(104K)
250,The Help,2011,2h 26m,PG-13,8.1,(520K)
